"Order ID","Order Date","Order Status","Customer Name","Order Total","Order Shipping","Payment Gateway","Shipping Method","Shipping Address Line 1","Shipping Address Line 2","Shipping Zip/Postcode","Billing Phone Number",_transaction_id,"Product Name","Quantity of items purchased","Item price EXCL. tax"
6854,2020/11/17,processing,"SUBJECT 2","41,50",0,Contrassegno,local_pickup:2,"Via Address 2",,20128,3290000000,,"ARROSTO DI POLLO 500 g",1,7
6854,2020/11/17,processing,"SUBJECT 2","41,50",0,Contrassegno,local_pickup:2,"Via Address 2",,20128,3290000000,,"GUANCIALE CUBETTI 250 g",1,5
6854,2020/11/17,processing,"SUBJECT 2","41,50",0,Contrassegno,local_pickup:2,"Via Address 2",,20128,3290000000,,"MORTADELLA CON PISTACCHIO AFFETTATA 200 g",1,4
6854,2020/11/17,processing,"SUBJECT 2","41,50",0,Contrassegno,local_pickup:2,"Via Address 2",,20128,3290000000,,"ARANCE 3 Kg",1,5
6854,2020/11/17,processing,"SUBJECT 2","41,50",0,Contrassegno,local_pickup:2,"Via Address 2",,20128,3290000000,,"PATATE GIALLE 1 Kg",1,1.2
6854,2020/11/17,processing,"SUBJECT 2","41,50",0,Contrassegno,local_pickup:2,"Via Address 2",,20128,3290000000,,"PERE ABATE 1 Kg",1,2.5
6854,2020/11/17,processing,"SUBJECT 2","41,50",0,Contrassegno,local_pickup:2,"Via Address 2",,20128,3290000000,,"PINOT NERO SPUMANTE BRUT O.P. 0,75L",1,5.8
6854,2020/11/17,processing,"SUBJECT 2","41,50",0,Contrassegno,local_pickup:2,"Via Address 2",,20128,3290000000,,"PANE AI CEREALI E SEMI DI LINO 500 g",1,4
6854,2020/11/17,processing,"SUBJECT 2","41,50",0,Contrassegno,local_pickup:2,"Via Address 2",,20128,3290000000,,"RASPADURA LODIGIANA BIO 120 g",1,2
6853,2020/11/17,processing,"SUBJECT 3","61,80",5,"PayPal o carta di credito",flat_rate:1,"Via Address 3",,20128,3340000000,49N13529XK0660428,"INSALATA VARIA 500 g",2,2.8
6853,2020/11/17,processing,"SUBJECT 3","61,80",5,"PayPal o carta di credito",flat_rate:1,"Via Address 3",,20128,3340000000,49N13529XK0660428,"CATALOGNA 1 Kg",1,1.9
6853,2020/11/17,processing,"SUBJECT 3","61,80",5,"PayPal o carta di credito",flat_rate:1,"Via Address 3",,20128,3340000000,49N13529XK0660428,"PORRI 1 Kg",1,2.5
6853,2020/11/17,processing,"SUBJECT 3","61,80",5,"PayPal o carta di credito",flat_rate:1,"Via Address 3",,20128,3340000000,49N13529XK0660428,"ZUCCHINE BIO 500 g",1,2
6853,2020/11/17,processing,"SUBJECT 3","61,80",5,"PayPal o carta di credito",flat_rate:1,"Via Address 3",,20128,3340000000,49N13529XK0660428,"YOGURT TIPO GRECO ARTIGIANALE 250 g",2,5
6853,2020/11/17,processing,"SUBJECT 3","61,80",5,"PayPal o carta di credito",flat_rate:1,"Via Address 3",,20128,3340000000,49N13529XK0660428,"AGNELLO A PEZZI MISTI 1 Kg",1,18
6853,2020/11/17,processing,"SUBJECT 3","61,80",5,"PayPal o carta di credito",flat_rate:1,"Via Address 3",,20128,3340000000,49N13529XK0660428,"CARNE TRITA DI MANZO PER RAGU' E POLPETTE 500 g",1,3.5
6853,2020/11/17,processing,"SUBJECT 3","61,80",5,"PayPal o carta di credito",flat_rate:1,"Via Address 3",,20128,3340000000,49N13529XK0660428,"PETTO DI POLLO 400 g",1,5
6853,2020/11/17,processing,"SUBJECT 3","61,80",5,"PayPal o carta di credito",flat_rate:1,"Via Address 3",,20128,3340000000,49N13529XK0660428,"PINOT NERO ROSSO DOP 0,75L",1,3.1
6853,2020/11/17,processing,"SUBJECT 3","61,80",5,"PayPal o carta di credito",flat_rate:1,"Via Address 3",,20128,3340000000,49N13529XK0660428,"PASSATA DI POMODORO 680 g",2,7
6853,2020/11/17,processing,"SUBJECT 3","61,80",5,"PayPal o carta di credito",flat_rate:1,"Via Address 3",,20128,3340000000,49N13529XK0660428,"PESTO LIGURE 180 g",1,6
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"OSSIBUCHI DI MANZO 500 g",1,6
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"UOVA ALLEVAMENTO ALL'APERTO",1,2.4
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"TRIPPA 500 g",1,5.5
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"ARANCE 3 Kg",1,5
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"CACHI 800 g (3 pz.)",2,5
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"CAVOLINI DI BRUXELLES 500 g",1,2.9
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"CICORIA MILANO 500 g",1,1
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"CLEMENTINE 1 Kg",2,4
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"KIWI 1 Kg",1,3.5
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"LIMONI 1 Kg",1,2.9
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"MELOGRANO 1 Kg",2,5
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"MELE 1 Kg",2,5.8
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"PORRI 1 Kg",1,2.5
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"PREZZEMOLO 80 g",1,0.5
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"UVA BIANCA SENZA SEMI 1 Kg",1,3
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"UVA ROSSA SENZA SEMI 1 Kg",1,3
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"ZUCCA DELICA 1,2 Kg",1,2.5
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"RUSTICONE LODIGIANO BIO 350 g",1,5
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"YOGURT BIO NATURALE 500 g",2,6
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"SALAME CREMONESE TRANCIO 400 g",1,8
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"TRIGLIE 500 g",1,9
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"FARINA DI MAIS PER POLENTA 500 g",2,3
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"PANE AI CEREALI ANTICHI 500 g",1,3.5
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"PINOT NERO ROSSO DOP 0,75L",1,3.1
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"MIELE D'ACACIA 500 g",1,7.5
6852,2020/11/17,processing,"SUBJECT 4","114,60",5,"PayPal o carta di credito",flat_rate:1,"VIA Address 4","CITOPONO cognome",20129,3350000000,396578590X266021D,"OLIVE TAGGIASCHE 400 g",1,4
